httplib2,https://raw.githubusercontent.com/httplib2/httplib2/master/LICENSE,MIT License
hypothesis,https://hypothesis.works,Mozilla Public License 2.0 (MPL 2.0)
idna,https://raw.githubusercontent.com/kjd/idna/master/LICENSE.md,BSD License
iniconfig,https://raw.githubusercontent.com/pytest-dev/iniconfig/master/LICENSE,MIT License
joblib,https://joblib.readthedocs.io,BSD License
jsonpickle,https://raw.githubusercontent.com/jsonpickle/jsonpickle/master/LICENSE,BSD License
jsonschema,https://raw.githubusercontent.com/python-jsonschema/jsonschema/master/COPYING,MIT License
jsonschema-specifications,https://raw.githubusercontent.com/python-jsonschema/jsonschema-specifications/master/COPYING,MIT License
mmh3,https://raw.githubusercontent.com/hajimes/mmh3/master/LICENSE,MIT License
mock,https://raw.githubusercontent.com/testing-cabal/mock/master/LICENSE.txt,BSD License
nltk,https://www.nltk.org/,Apache Software License
nose,https://raw.githubusercontent.com/nose-devs/nose/master/lgpl.txt,GNU Library or Lesser General Public License (LGPL)
numpy,https://raw.githubusercontent.com/numpy/numpy/master/LICENSE.txt,BSD License
oauth2client,https://raw.githubusercontent.com/googleapis/oauth2client/master/LICENSE,Apache Software License
objsize,https://raw.githubusercontent.com/liran-funaro/objsize/master/LICENSE,BSD License
orjson,https://github.com/ijl/orjson/raw/master/LICENSE-APACHE,Apache Software License; MIT License
overrides,https://raw.githubusercontent.com/mkorpela/overrides/master/LICENSE,"Apache License, Version 2.0"
packaging,https://raw.githubusercontent.com/pypa/packaging/master/LICENSE,Apache Software License; BSD License
pandas,https://raw.githubusercontent.com/pandas-dev/pandas/master/LICENSE,BSD License
parameterized,https://raw.githubusercontent.com/wolever/parameterized/master/LICENSE.txt,BSD License
pluggy,https://raw.githubusercontent.com/pytest-dev/pluggy/master/LICENSE,MIT License
proto-plus,https://raw.githubusercontent.com/googleapis/proto-plus-python/master/LICENSE,Apache Software License
protobuf,https://raw.githubusercontent.com/protocolbuffers/protobuf/master/LICENSE,3-Clause BSD License
psycopg2-binary,https://psycopg.org/,GNU Library or Lesser General Public License (LGPL)
pyarrow,https://raw.githubusercontent.com/apache/arrow/master/LICENSE.txt,Apache Software License
pyarrow-hotfix,https://raw.githubusercontent.com/pitrou/pyarrow-hotfix/master/LICENSE.txt,"Apache License, Version 2.0"
pyasn1,https://raw.githubusercontent.com/pyasn1/pyasn1/master/LICENSE.rst,BSD License
pyasn1_modules,https://raw.githubusercontent.com/pyasn1/pyasn1-modules/master/LICENSE.txt,BSD License
pycparser,https://raw.githubusercontent.com/eliben/pycparser/master/LICENSE,BSD License
pydantic,https://raw.githubusercontent.com/pydantic/pydantic/master/LICENSE,MIT License
pydantic_core,https://raw.githubusercontent.com/pydantic/pydantic-core/master/LICENSE,MIT License
pydot,https://github.com/pydot/pydot,MIT License
pyjsparser,https://github.com/PiotrDabkowski/pyjsparser/blob/master/LICENSE,MIT
pymongo,https://raw.githubusercontent.com/mongodb/mongo-python-driver/master/LICENSE,Apache Software License
pyparsing,https://raw.githubusercontent.com/pyparsing/pyparsing/master/LICENSE,MIT License
pyproject_hooks,https://raw.githubusercontent.com/pypa/pyproject-hooks/main/LICENSE,MIT License
pytest,https://docs.pytest.org/en/latest/,MIT License
pytest-timeout,https://raw.githubusercontent.com/pytest-dev/pytest-timeout/master/LICENSE,DFSG approved; MIT License
pytest-xdist,https://raw.githubusercontent.com/pytest-dev/pytest-xdist/master/LICENSE,MIT License
python-dateutil,https://raw.githubusercontent.com/dateutil/dateutil/master/LICENSE,Apache Software License; BSD License
python-snappy,https://raw.githubusercontent.com/intake/python-snappy/master/LICENSE,BSD License
pytz,http://pythonhosted.org/pytz,MIT License
redis,https://raw.githubusercontent.com/redis/redis-py/master/LICENSE,MIT License
referencing,https://raw.githubusercontent.com/python-jsonschema/referencing/master/COPYING,MIT License
regex,https://raw.githubusercontent.com/mrabarnett/mrab-regex/master/LICENSE.txt,Apache Software License
requests,https://requests.readthedocs.io,Apache Software License
requests-mock,https://requests-mock.readthedocs.io/,Apache Software License
rpds-py,https://raw.githubusercontent.com/crate-py/rpds/master/LICENSE,MIT License
rsa,https://stuvel.eu/rsa,Apache Software License
scikit-learn,https://raw.githubusercontent.com/scikit-learn/scikit-learn/master/COPYING,BSD License
scipy,https://raw.githubusercontent.com/scipy/scipy/master/LICENSE.txt,BSD License
shapely,https://raw.githubusercontent.com/shapely/shapely/master/LICENSE.txt,BSD License
